Time,X,Y,Z,GX,GY,GZ,Activity
738683.1873,-0.645996,0.473999,-0.484741,-23.521421,19.813538,-11.665343,Climb_1
738683.1873,-0.66687,0.460449,-0.531128,-23.559568,13.656615,-13.442992,Climb_1
738683.1873,-0.67041,0.458496,-0.511353,-19.53125,17.471313,-13.168334,Climb_1
738683.1873,-0.679565,0.45813,-0.526367,-17.570496,22.171019,-7.5531,Climb_1
738683.1874,0.203003,-0.299194,-0.938232,-10.482787,-0.495911,-33.409119,Climb_1
738683.1873,-0.696777,0.453369,-0.500732,-14.884948,9.57489,-7.202148,Climb_1
738683.1873,-0.664673,0.471558,-0.484741,-18.135071,19.554138,-4.264832,Climb_1
738683.1874,-0.621338,0.275269,-0.616089,8.285522,41.503902,26.069639,Climb_1
738683.1874,0.224365,-0.372314,-0.978638,12.229918,-10.101317,-41.236874,Climb_1
738683.1874,0.202026,-0.389771,-0.922852,-0.770569,-26.107786,-35.972595,Climb_1
738683.1873,-0.650513,0.464111,-0.507568,-26.69525,20.217894,-11.985778,Climb_1
738683.1874,0.253784,-0.321899,-0.914795,-1.266479,-18.760681,-22.209166,Climb_1
738683.1874,0.169922,-0.37439,-0.951782,0.801086,-9.651184,-22.926329,Climb_1
738683.1874,0.238647,-0.329102,-0.930054,16.044617,-19.470215,-38.841248,Climb_1
738683.1873,-0.7146,0.455078,-0.497437,-17.00592,13.534545,-8.460999,Climb_1
738683.1874,0.262329,-0.396362,-0.947998,11.695861,2.029419,-62.988277,Climb_1
738683.1873,-0.835083,0.394043,-0.415649,-31.257627,15.411376,-29.319761,Climb_1
738683.1875,0.203735,0.451416,-0.754395,-43.80035,-113.716118,-76.324463,Climb_1
738683.1874,0.223877,-0.348389,-0.869019,-9.979248,-21.102903,-38.383484,Climb_1
738683.1874,-0.540405,0.301758,-0.648193,4.623413,34.568787,51.399227,Climb_1
738683.1875,0.454346,0.383179,-0.799316,-69.793701,10.345458,-55.732723,Climb_1
738683.1873,-0.641113,0.492065,-0.547241,-31.394957,35.194397,-27.06909,Climb_1
738683.1874,-0.696777,0.421265,-0.650269,1.350403,14.938354,-2.632141,Climb_1
738683.1875,0.378296,0.390991,-0.740845,-103.088371,-169.258102,-51.528927,Climb_1
738683.1873,-0.646729,0.469482,-0.453369,-24.92523,27.603148,-16.288757,Climb_1
738683.1875,0.317383,0.316162,-0.745361,-71.388245,-52.520748,-77.896118,Climb_1
738683.1879,0.325684,0.12207,-1.205933,-9.078979,19.386292,-16.983032,Climb_1
738683.1874,0.219116,-0.376221,-0.922607,12.725829,-6.439209,-62.599178,Climb_1
738683.1874,0.115601,-0.280518,-0.883911,-9.284973,1.075745,-3.944397,Climb_1
738683.1873,-0.88916,0.428833,-0.388184,-30.448912,6.591796,-48.652645,Climb_1
738683.1875,0.50708,0.110474,-0.828247,-35.919189,-21.705626,-20.996092,Climb_1
738683.1875,0.500488,0.189331,-0.794434,-57.846066,-33.26416,-10.902404,Climb_1
738683.1875,0.286743,0.168091,-0.728271,-79.208374,-14.038085,8.781433,Climb_1
738683.1875,0.26123,0.291748,-0.760742,-49.926754,-7.461547,-34.828186,Climb_1
738683.1879,0.342896,0.041626,-1.011719,48.477169,63.041683,-6.355285,Climb_1
738683.1874,-0.463745,0.374878,-0.643311,2.784729,49.407955,45.364376,Climb_1
738683.1879,0.445313,0.103027,-1.145752,-35.812378,12.939452,15.411376,Climb_1
738683.1879,0.305664,0.065796,-1.022217,-18.188477,-20.011902,18.600464,Climb_1
738683.1879,0.237061,-4.88e-4,-1.041748,15.815734,-34.576416,3.486633,Climb_1
738683.1874,0.250732,-0.363037,-1.002808,38.719177,-2.426147,-38.406372,Climb_1
738683.1874,0.168213,-0.347534,-0.952637,3.761291,-6.79779,-37.200928,Climb_1
738683.1873,-0.734619,0.454102,-0.528809,-15.830993,-11.123656,-39.726257,Climb_1
738683.1874,0.133667,-0.24939,-0.856567,-33.905029,-9.086609,16.738892,Climb_1
738683.1874,0.247681,-0.311035,-0.857788,-2.075195,-3.570556,5.233764,Climb_1
738683.1874,0.123779,-0.329712,-0.954834,0.419617,-30.296324,5.805969,Climb_1
738683.1873,-0.66333,0.452026,-0.583374,-29.312132,17.448425,-13.534545,Climb_1
738683.1873,-0.546143,0.505493,-0.520752,-21.072386,12.916564,-2.189636,Climb_1
738683.1874,-0.430054,0.385376,-0.647949,-11.344909,28.808592,60.630795,Climb_1
738683.1879,-0.608887,0.503296,-0.532104,22.644041,-23.53668,-1.159668,Climb_1
738683.1879,-0.623169,0.490845,-0.467285,21.77429,-7.263183,8.453369,Climb_1
738683.1879,-0.69104,0.523926,-0.511108,13.618468,0.427246,15.205382,Climb_1
738683.1879,-0.638672,0.494629,-0.514771,10.505675,5.401611,8.796692,Climb_1
738683.1879,0.234009,0.07251,-0.997925,10.353087,-12.001037,0.198364,Climb_1
738683.1874,0.194824,-0.339233,-0.934326,-16.525269,16.921997,-32.88269,Climb_1
738683.1879,-0.619751,0.471802,-0.583008,-1.060486,7.537841,9.269714,Climb_1
738683.1873,-0.80542,0.437378,-0.494629,-35.499573,1.655578,-45.417782,Climb_1
738683.1879,0.049072,0.138062,-0.738892,44.891354,41.748043,68.084717,Climb_1
738683.1879,0.132935,0.040161,-0.854736,33.729553,44.448849,73.410034,Climb_1
738683.1879,0.283569,0.079346,-0.850098,39.466858,43.861385,53.489681,Climb_1
738683.1879,0.136108,0.073608,-0.619263,10.482787,53.955074,38.314819,Climb_1
